text_aktivitas,kategori,tingkat_aktivitas
Saya keluar dari zona nyaman saya dan meninggalkan pekerjaan yang aman.,Guts,Menengah
Saya berani mengubah hidup saya dengan berpindah ke kota baru.,Guts,Berat
Saya mengambil risiko besar dalam hidup saya ketika memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya melangkah maju meskipun saya merasa takut dengan memulai petualangan baru.,Guts,Menengah
Saya berani menerima tantangan baru meski saya takut gagal.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski ada banyak rintangan di depan.,Guts,Menengah
Saya berani berbicara di depan umum meski saya merasa gugup.,Guts,Berat
Saya melangkah maju meskipun saya merasa takut dengan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski saya khawatir dengan konsekuensinya.,Guts,Menengah
Saya menghadapi ketakutan saya dengan penuh keberanian dan memulai petualangan baru.,Guts,Menengah
Saya memilih untuk berdiri teguh meski ada banyak rintangan di depan.,Guts,Menengah
Saya mengambil risiko besar dalam hidup saya ketika menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya berani menerima tantangan baru meski saya merasa tidak bisa melakukannya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena berbicara di depan umum.,Guts,Menengah
Saya mengatasi ketakutan saya ketika mengambil keputusan yang tidak populer.,Guts,Menengah
Saya berani menerima tantangan baru meski saya merasa gugup.,Guts,Ringan
Saya memilih untuk berkembang dengan mengambil menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya memutuskan untuk mengejar tujuan saya meski saya tidak yakin dengan hasilnya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena berpindah ke kota baru.,Guts,Menengah
Saya mengambil keputusan besar dan melangkah maju dengan penuh keyakinan.,Guts,Berat
Saya berani mengubah hidup saya dengan mengambil keputusan yang tidak populer.,Guts,Ringan
Saya melangkah lebih jauh meski ada ketidakpastian dengan berbicara di depan umum.,Guts,Berat
Saya memilih untuk terus berjuang meski saya takut gagal.,Guts,Menengah
Saya berani berbicara di depan umum meski saya takut mengecewakan orang lain.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya belum tahu apakah itu benar-benar tepat untuk saya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya memilih untuk menjadi lebih berani dan mengambil menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan memutuskan untuk melanjutkan pendidikan.,Guts,Berat
Saya memilih untuk menjadi lebih berani dan mengambil mengambil keputusan yang tidak populer.,Guts,Menengah
Saya berani berbicara di depan umum meski saya merasa tidak siap.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan memulai usaha sendiri.,Guts,Menengah
Saya memilih untuk berdiri teguh meski saya tidak tahu apakah saya bisa menghadapinya.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya merasa tidak punya cukup pengalaman.,Guts,Berat
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya menghadapi risiko besar karena memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya berani mengubah hidup saya dengan memulai usaha sendiri.,Guts,Menengah
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski banyak halangan yang harus diatasi.,Guts,Menengah
Saya menghadapi risiko besar karena meninggalkan pekerjaan yang aman.,Guts,Berat
Saya menghadapi risiko besar karena mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya menghadapi risiko besar karena berbicara di depan umum.,Guts,Menengah
Saya berani berbicara di depan umum meski saya merasa tidak bisa melakukannya.,Guts,Menengah
Saya melangkah maju meskipun saya merasa takut dengan memulai usaha sendiri.,Guts,Ringan
Saya menghadapi tantangan besar dengan penuh keberanian ketika mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya melangkah maju meskipun saya merasa takut dengan berbicara di depan umum.,Guts,Ringan
Saya mengatasi ketakutan saya ketika memulai usaha sendiri.,Guts,Berat
Saya memilih untuk menjadi lebih berani dan mengambil memulai usaha sendiri.,Guts,Menengah
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah mengambil keputusan yang tidak populer.,Guts,Ringan
Saya memilih untuk berkembang dengan mengambil mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya memutuskan untuk mengejar tujuan saya meski ada banyak ketidakpastian di depan.,Guts,Berat
Saya melangkah lebih jauh meski ada ketidakpastian dengan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Berat
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah berpindah ke kota baru.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena mengambil pekerjaan baru di luar negeri.,Guts,Berat
Saya menghadapi ketakutan saya dengan penuh keberanian dan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah berpindah ke kota baru.,Guts,Menengah
Saya keluar dari zona nyaman saya dan memulai petualangan baru.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya merasa tidak siap.,Guts,Ringan
Saya memilih untuk berdiri teguh meski banyak halangan yang harus diatasi.,Guts,Ringan
