text_aktivitas,kategori,tingkat_aktivitas
Saya memaafkan orang lain meski mereka melakukan sesuatu yang salah.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada teman terbaik dengan cara mengucapkan kata-kata manis.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada hewan peliharaan dengan cara mengucapkan kata-kata manis.,Kindness,Menengah
"Saya percaya bahwa dengan kebaikan, kita bisa mengubah dunia menjadi lebih baik.",Kindness,Ringan
Saya mengungkapkan perasaan saya kepada saudara melalui puisi.,Kindness,Menengah
Saya menunjukkan kasih sayang kepada teman terbaik dengan cara meluangkan waktu bersama.,Kindness,Ringan
Saya percaya bahwa setiap orang berhak untuk merasa bahagia dan dihargai.,Kindness,Ringan
Saya yakin bahwa dunia ini masih penuh harapan dan kebaikan.,Kindness,Ringan
Saya memberikan senyuman dan kata-kata penyemangat untuk orang yang saya temui hari ini.,Kindness,Berat
Saya membuatkan makanan favorit untuk pasangan.,Kindness,Ringan
Saya berusaha menjadi sumber harapan bagi orang-orang yang sedang mengalami kesulitan.,Kindness,Menengah
Saya memaafkan orang lain meski mereka telah membuat saya kecewa.,Kindness,Menengah
Saya membantu orang lain dengan harapan bahwa mereka akan melakukan hal yang sama suatu hari nanti.,Kindness,Ringan
Saya menginspirasi orang lain untuk tetap berharap meskipun menghadapi kesulitan.,Kindness,Ringan
Saya memberikan waktu saya untuk membantu penggalangan dana tanpa mengharapkan imbalan.,Kindness,Ringan
Saya membantu saudara dengan menawarkan bantuan finansial ketika mereka dalam kesulitan.,Kindness,Ringan
Saya menolong orang yang membutuhkan dengan cara membantu membawa barang.,Kindness,Ringan
Saya berusaha mendengarkan keluhan orang lain dengan penuh perhatian.,Kindness,Menengah
Saya memberikan dukungan dengan keyakinan bahwa itu akan membantu orang lain pulih dan berkembang.,Kindness,Ringan
Saya berharap bisa memberikan lebih banyak kebaikan kepada orang-orang di sekitar saya.,Kindness,Ringan
Saya menolong orang yang membutuhkan dengan cara mendengarkan keluhan.,Kindness,Berat
Saya memberikan hadiah kejutan berupa parfum favorit untuk pasangan.,Kindness,Ringan
Saya menulis surat untuk teman terbaik.,Kindness,Menengah
Saya merasa bahwa harapan adalah kunci untuk bertahan dan tumbuh dalam hidup.,Kindness,Ringan
Saya menulis surat untuk hewan peliharaan.,Kindness,Berat
Saya menulis surat untuk pasangan.,Kindness,Menengah
Saya memberikan kejutan manis kepada orang tua berupa bunga.,Kindness,Menengah
Saya menunjukkan kasih sayang kepada anak dengan cara membantu dalam kesulitan.,Kindness,Menengah
Saya merawat hewan peliharaan saya dengan penuh kasih sayang.,Kindness,Berat
Saya membuatkan makanan favorit untuk hewan peliharaan.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa handmade gifts untuk orang tua.,Kindness,Ringan
Saya merayakan momen spesial dengan orang tua pada hari libur keluarga.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada anak dengan cara meluangkan waktu bersama.,Kindness,Ringan
Saya meluangkan waktu untuk menonton film bersama dengan saudara.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada hewan peliharaan dengan cara memberikan pelukan.,Kindness,Ringan
Saya meluangkan waktu untuk berjalan-jalan di taman dengan saudara.,Kindness,Berat
Saya berusaha menjaga hubungan dengan saudara meski ada perbedaan.,Kindness,Ringan
Saya memberikan waktu saya untuk membantu bantuan bencana tanpa mengharapkan imbalan.,Kindness,Ringan
Saya membantu seseorang yang sedang dalam kesulitan dengan memberi membantu membersihkan rumah.,Kindness,Berat
Saya menulis surat untuk orang tua.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada teman terbaik melalui percakapan hati ke hati.,Kindness,Ringan
Saya membuatkan makanan favorit untuk teman terbaik.,Kindness,Ringan
Saya menolong orang yang membutuhkan dengan cara menawarkan bantuan finansial.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada pasangan melalui puisi.,Kindness,Berat
Saya membantu anak dengan menyediakan makanan ketika mereka dalam kesulitan.,Kindness,Ringan
Saya membuatkan makanan favorit untuk anak.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada anak melalui percakapan hati ke hati.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada saudara melalui surat.,Kindness,Ringan
Saya memberikan waktu saya untuk membantu pendampingan anak-anak tanpa mengharapkan imbalan.,Kindness,Ringan
Saya menolong orang yang membutuhkan dengan cara membantu membersihkan rumah.,Kindness,Menengah
Saya menunjukkan kasih sayang kepada hewan peliharaan dengan cara membantu dalam kesulitan.,Kindness,Menengah
Saya menulis surat untuk saudara.,Kindness,Berat
Saya memaafkan orang lain meski mereka melupakan janji.,Kindness,Berat
Saya memberikan hadiah kejutan berupa buku motivasi untuk pasangan.,Kindness,Ringan
Saya memberikan kejutan manis kepada hewan peliharaan berupa kalung.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada teman terbaik melalui pesan teks.,Kindness,Ringan
Saya meluangkan waktu untuk memasak bersama dengan anak.,Kindness,Menengah
Saya memaafkan orang lain meski mereka tidak menghargai waktu saya.,Kindness,Ringan
Saya membantu saudara dengan membantu membawa barang ketika mereka dalam kesulitan.,Kindness,Ringan
Saya memberikan kejutan manis kepada pasangan berupa boneka.,Kindness,Ringan
Saya memberi dukungan emosional kepada pasangan saat masalah pribadi.,Kindness,Ringan
Saya memberi dukungan emosional kepada teman terbaik saat ketika merasa cemas.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada orang tua melalui pesan teks.,Kindness,Menengah
Saya membantu seseorang yang sedang dalam kesulitan dengan memberi menawarkan bantuan finansial.,Kindness,Ringan
Saya meluangkan waktu untuk bermain permainan dengan teman terbaik.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada saudara melalui pesan teks.,Kindness,Menengah
Saya membantu teman terbaik dengan menawarkan bantuan finansial ketika mereka dalam kesulitan.,Kindness,Berat
Saya meluangkan waktu untuk bermain permainan dengan anak.,Kindness,Menengah
Saya memberi dukungan emosional kepada anak saat kesulitan pekerjaan.,Kindness,Ringan
Saya berusaha menjaga hubungan dengan anak meski ada perbedaan.,Kindness,Ringan
Saya merayakan momen spesial dengan hewan peliharaan pada Hari Valentine.,Kindness,Ringan
Saya membantu orang tua dengan membantu membersihkan rumah ketika mereka dalam kesulitan.,Kindness,Menengah
Saya berusaha menjaga hubungan dengan orang tua meski ada perbedaan.,Kindness,Menengah
Saya memberikan hadiah kejutan berupa tiket untuk aktivitas yang disukai untuk orang tua.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada pasangan melalui surat.,Kindness,Ringan
Saya memberikan kejutan manis kepada orang tua berupa surat cinta.,Kindness,Ringan
Saya membantu seseorang yang sedang dalam kesulitan dengan memberi menyediakan makanan.,Kindness,Berat
Saya menunjukkan kasih sayang kepada pasangan dengan cara meluangkan waktu bersama.,Kindness,Ringan
Saya menulis surat untuk anak.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada hewan peliharaan melalui video call.,Kindness,Berat
Saya membantu hewan peliharaan dengan menyediakan makanan ketika mereka dalam kesulitan.,Kindness,Ringan
Saya memberikan kejutan manis kepada orang tua berupa hadiah buatan tangan.,Kindness,Ringan
Saya meluangkan waktu untuk berjalan-jalan di taman dengan hewan peliharaan.,Kindness,Ringan
Saya merayakan momen spesial dengan pasangan pada perayaan hari jadi pernikahan.,Kindness,Berat
Saya membuatkan makanan favorit untuk orang tua.,Kindness,Menengah
Saya meluangkan waktu untuk memasak bersama dengan saudara.,Kindness,Menengah
Saya membantu saudara dengan mendengarkan keluhan ketika mereka dalam kesulitan.,Kindness,Menengah
Saya meluangkan waktu untuk berjalan-jalan di taman dengan pasangan.,Kindness,Ringan
Saya memberikan kejutan manis kepada hewan peliharaan berupa bunga.,Kindness,Berat
Saya memberikan hadiah kejutan berupa bunga segar untuk anak.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada anak melalui puisi.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa handmade gifts untuk hewan peliharaan.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada orang tua dengan cara memberikan perhatian lebih.,Kindness,Berat
Saya memberikan waktu saya untuk membantu kegiatan bakti sosial tanpa mengharapkan imbalan.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada hewan peliharaan dengan cara memberikan perhatian lebih.,Kindness,Ringan
Saya memberikan waktu saya untuk membantu membersihkan lingkungan tanpa mengharapkan imbalan.,Kindness,Ringan
Saya membantu seseorang yang sedang dalam kesulitan dengan memberi membantu membawa barang.,Kindness,Menengah
Saya memberi dukungan emosional kepada saudara saat ketika sedang sakit.,Kindness,Menengah
Saya memberi dukungan emosional kepada teman terbaik saat kesulitan pekerjaan.,Kindness,Menengah
Saya memberi dukungan emosional kepada teman terbaik saat ketika sedang sakit.,Kindness,Ringan
Saya menolong orang yang membutuhkan dengan cara menyediakan makanan.,Kindness,Berat
Saya berusaha menjaga hubungan dengan hewan peliharaan meski ada perbedaan.,Kindness,Ringan
Saya memberi dukungan emosional kepada anak saat ketika merasa cemas.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada orang tua dengan cara meluangkan waktu bersama.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada pasangan melalui video call.,Kindness,Ringan
Saya merayakan momen spesial dengan teman terbaik pada ulang tahun.,Kindness,Ringan
Saya memberi dukungan emosional kepada hewan peliharaan saat masalah pribadi.,Kindness,Berat
Saya merayakan momen spesial dengan pasangan pada Hari Valentine.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada orang tua dengan cara memberikan pelukan.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada pasangan dengan cara mengucapkan kata-kata manis.,Kindness,Menengah
Saya meluangkan waktu untuk menonton film bersama dengan teman terbaik.,Kindness,Menengah
Saya merayakan momen spesial dengan anak pada hari jadian.,Kindness,Ringan
Saya memberikan kejutan manis kepada anak berupa boneka.,Kindness,Ringan
Saya memberikan kejutan manis kepada pasangan berupa kalung.,Kindness,Ringan
Saya meluangkan waktu untuk berkumpul di rumah dengan anak.,Kindness,Berat
Saya menunjukkan kasih sayang kepada saudara dengan cara memberikan perhatian lebih.,Kindness,Berat
Saya memberikan hadiah kejutan berupa tiket untuk aktivitas yang disukai untuk pasangan.,Kindness,Ringan
Saya memberi dukungan emosional kepada pasangan saat ketika merasa cemas.,Kindness,Berat
Saya memberikan hadiah kejutan berupa tiket untuk aktivitas yang disukai untuk anak.,Kindness,Berat
Saya membantu pasangan dengan membantu membersihkan rumah ketika mereka dalam kesulitan.,Kindness,Berat
Saya merayakan momen spesial dengan saudara pada ulang tahun.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa bunga segar untuk pasangan.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada pasangan dengan cara memberikan perhatian lebih.,Kindness,Menengah
Saya memberikan hadiah kejutan berupa buku motivasi untuk hewan peliharaan.,Kindness,Berat
Saya merayakan momen spesial dengan pasangan pada hari libur keluarga.,Kindness,Ringan
Saya memberikan kejutan manis kepada pasangan berupa surat cinta.,Kindness,Menengah
Saya memberikan hadiah kejutan berupa bunga segar untuk hewan peliharaan.,Kindness,Berat
Saya menunjukkan kasih sayang kepada teman terbaik dengan cara membantu dalam kesulitan.,Kindness,Menengah
Saya menunjukkan kasih sayang kepada pasangan dengan cara membantu dalam kesulitan.,Kindness,Berat
Saya membantu teman terbaik dengan membantu membawa barang ketika mereka dalam kesulitan.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa handmade gifts untuk saudara.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada hewan peliharaan melalui surat.,Kindness,Ringan
Saya memberi dukungan emosional kepada hewan peliharaan saat ketika merasa cemas.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa buku motivasi untuk orang tua.,Kindness,Ringan
Saya membuatkan makanan favorit untuk saudara.,Kindness,Ringan
Saya merayakan momen spesial dengan teman terbaik pada Hari Valentine.,Kindness,Menengah
Saya membantu hewan peliharaan dengan menawarkan bantuan finansial ketika mereka dalam kesulitan.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada orang tua melalui percakapan hati ke hati.,Kindness,Ringan
Saya merayakan momen spesial dengan teman terbaik pada hari jadian.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada orang tua melalui surat.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada saudara dengan cara memberikan pelukan.,Kindness,Ringan
Saya meluangkan waktu untuk memasak bersama dengan teman terbaik.,Kindness,Menengah
Saya merayakan momen spesial dengan hewan peliharaan pada perayaan hari jadi pernikahan.,Kindness,Ringan
Saya membantu anak dengan menawarkan bantuan finansial ketika mereka dalam kesulitan.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada hewan peliharaan melalui percakapan hati ke hati.,Kindness,Ringan
Saya meluangkan waktu untuk berkumpul di rumah dengan pasangan.,Kindness,Menengah
Saya meluangkan waktu untuk berjalan-jalan di taman dengan orang tua.,Kindness,Ringan
Saya merayakan momen spesial dengan teman terbaik pada hari libur keluarga.,Kindness,Ringan
Saya membantu orang tua dengan menawarkan bantuan finansial ketika mereka dalam kesulitan.,Kindness,Berat
Saya berusaha menjaga hubungan dengan teman terbaik meski ada perbedaan.,Kindness,Berat
Saya membantu orang tua dengan mendengarkan keluhan ketika mereka dalam kesulitan.,Kindness,Menengah
