text_aktivitas,kategori,tingkat_aktivitas
"Saya selalu berbicara dengan empati agar orang merasa dimengerti dan dihargai, sambil memperhatikan menjaga kebersihan dan kerapian diri.",Charm,Berat
"Saya percaya bahwa setiap orang berhak untuk dihargai dan merasa penting, yang saya tunjukkan dengan menjaga kontak mata dengan orang yang diajak bicara.",Charm,Ringan
Saya berusaha untuk menunjukkan rasa hormat dan ketulusan dalam setiap pertemuan dengan memuji keahlian mereka dalam sesuatu.,Charm,Berat
"Saya mengenal orang-orang dengan cepat dan berusaha untuk menarik perhatian mereka dengan karisma saya, melalui menggunakan humor situasional.",Charm,Berat
"Saya berbicara dengan nada suara yang menyenangkan agar orang merasa dihargai dan diperhatikan, dengan menggunakan bahasa tubuh yang ramah.",Charm,Berat
Saya berusaha untuk menunjukkan rasa hormat dan ketulusan dalam setiap pertemuan dengan memberikan pujian tentang penampilan mereka.,Charm,Ringan
Saya mengusahakan untuk menjadi orang yang penuh semangat agar orang merasa terinspirasi dengan menceritakan cerita lucu untuk menghibur orang lain.,Charm,Berat
"Saya selalu menjaga kontak mata untuk menunjukkan perhatian dan rasa hormat, serta postur tubuh yang tegak dan percaya diri.",Charm,Menengah
"Saya berusaha tampil percaya diri tanpa terkesan sombong, dengan memberikan pujian atas sifat baik mereka.",Charm,Ringan
Saya menggunakan sikap percaya diri untuk mempengaruhi orang lain secara positif dengan mempertahankan ekspresi wajah yang ramah dan penuh perhatian.,Charm,Ringan
"Saya berbicara dengan nada suara yang menyenangkan agar orang merasa dihargai dan diperhatikan, dengan menghargai setiap percakapan.",Charm,Ringan
Saya memberikan perhatian penuh pada percakapan sehingga orang merasa dihargai dengan senyum yang ramah dan tulus.,Charm,Menengah
Saya berusaha untuk selalu menjaga bahasa tubuh yang positif dan ramah dengan menjaga penampilan dengan pakaian yang rapi dan sopan.,Charm,Menengah
"Saya menciptakan suasana yang menyenangkan dengan sikap positif dan penuh semangat, yang bisa dilihat dari menjaga kontak mata dengan orang yang diajak bicara.",Charm,Ringan
"Saya berusaha menjadi orang yang dapat dipercaya dan dapat membuat orang merasa nyaman berbicara dengan saya, dengan berpakaian dengan cara yang memancarkan kepercayaan diri.",Charm,Ringan
"Saya mencoba untuk selalu memperlihatkan sikap yang positif dan optimis, sambil memberikan pujian tentang penampilan mereka.",Charm,Menengah
Saya memperhatikan penampilan saya agar bisa membuat kesan pertama yang baik dengan memberikan perhatian yang penuh dalam setiap interaksi.,Charm,Menengah
"Saya selalu berusaha untuk tampil dengan senyuman yang memikat di setiap kesempatan, yang saya tunjukkan dengan memperhatikan detail kecil dalam penampilan.",Charm,Menengah
Saya menjaga sikap tubuh yang rileks dan terbuka agar orang merasa nyaman berada di sekitar saya dengan menjaga penampilan dengan pakaian yang rapi dan sopan.,Charm,Menengah
"Saya berusaha untuk membuat orang lain merasa nyaman dengan cara berbicara yang ramah, sambil menceritakan cerita lucu untuk menghibur orang lain.",Charm,Berat
"Saya berbicara dengan nada suara yang menyenangkan agar orang merasa dihargai dan diperhatikan, dengan menggunakan humor untuk mencairkan suasana.",Charm,Menengah
Saya menggunakan sikap percaya diri untuk mempengaruhi orang lain secara positif dengan sikap tubuh yang terbuka.,Charm,Ringan
"Saya berusaha untuk memberi perhatian lebih kepada orang yang saya temui, sehingga mereka merasa spesial, dengan berbicara dengan nada suara yang lembut.",Charm,Berat
Saya menggunakan bahasa tubuh yang terbuka untuk membuat orang merasa lebih nyaman di sekitar saya dengan postur tubuh yang tegak dan percaya diri.,Charm,Menengah
"Saya selalu berusaha untuk memberikan kesan yang baik dengan sikap santun dan ramah, serta menjaga penampilan dengan pakaian yang rapi dan sopan.",Charm,Ringan
"Saya selalu berusaha untuk tampil dengan senyuman yang memikat di setiap kesempatan, yang saya tunjukkan dengan menjaga kebersihan dan kerapian diri.",Charm,Menengah
"Saya mencoba untuk selalu memperlihatkan sikap yang positif dan optimis, sambil memuji keahlian mereka dalam sesuatu.",Charm,Berat
Saya berusaha menghibur orang-orang di sekitar saya dengan cerita yang menarik sambil bermain-main dengan kata-kata untuk membuat orang tersenyum.,Charm,Ringan
Saya menggunakan bahasa tubuh yang terbuka untuk membuat orang merasa lebih nyaman di sekitar saya dengan gerakan tangan yang natural saat berbicara.,Charm,Menengah
"Saya mengungkapkan rasa terima kasih kepada orang lain secara terbuka untuk mempererat hubungan, sambil menggunakan humor situasional.",Charm,Berat
Saya mencoba untuk menjadi orang yang menyenangkan untuk diajak berbicara dengan menunjukkan rasa hormat dalam setiap kata.,Charm,Ringan
"Saya berusaha untuk membuat orang merasa istimewa dengan mendengarkan mereka dengan penuh perhatian, sambil menggunakan lelucon ringan untuk mencairkan suasana.",Charm,Menengah
Saya berusaha menghibur orang-orang di sekitar saya dengan cerita yang menarik sambil menggunakan humor situasional.,Charm,Menengah
"Saya selalu berusaha untuk tampil dengan senyuman yang memikat di setiap kesempatan, yang saya tunjukkan dengan berpakaian dengan cara yang memancarkan kepercayaan diri.",Charm,Ringan
"Saya percaya bahwa melalui kata-kata yang baik, kita bisa menciptakan koneksi yang kuat dengan orang lain, dengan memberikan pujian atas sifat baik mereka.",Charm,Menengah
"Saya berusaha untuk mengerti perasaan orang lain dan memberikan dukungan melalui kata-kata yang positif, serta menunjukkan ketertarikan pada cerita mereka.",Charm,Ringan
Saya menjaga sikap tubuh yang rileks dan terbuka agar orang merasa nyaman berada di sekitar saya dengan memperhatikan detail kecil dalam penampilan.,Charm,Berat
"Saya percaya bahwa melalui kata-kata yang baik, kita bisa menciptakan koneksi yang kuat dengan orang lain, dengan memberikan pujian tentang penampilan mereka.",Charm,Menengah
